Name,Twitter_name,Team
Dennis Schröder,@DennisMike93,Atlanta Hawks
Kyle Korver,@KyleKorver,Atlanta Hawks
DeMarre Carroll,@DeMarreCarroll1,Atlanta Hawks
Shelvin Mack,@ShelvinMack,Atlanta Hawks
Pero Antic,‏ @antic12pero,Atlanta Hawks
Mike Scott,@mikescott,Atlanta Hawks
Gustavo Ayon,@AyonGustavo,Atlanta Hawks
Jeff Teague,@Teague0,Atlanta Hawks
James Nunnally,@AllorNunn21,Atlanta Hawks
Anthony Tolliver,@ATolliver44,Atlanta Hawks
Louis Williams,@TeamLou23,Atlanta Hawks
Bismack Biyombo,@bismackbiyombo0,Charlotte Bobcats
Cody Zeller,@CodyZeller,Charlotte Bobcats
Jannero Pargo,@jpargo1,Charlotte Bobcats
Anthony Tolliver,@ATolliver44,Charlotte Bobcats
Gerald Henderson,@GhJr09,Charlotte Bobcats
Michael Kidd-Gilchrist,@MikeGillie14,Charlotte Bobcats
Ramon Sessions,@SessionsRamon,Charlotte Bobcats
Kemba Walker,@KembaWalker,Charlotte Bobcats
Jeff Adrien ,@Adrien4,Charlotte Bobcats
Ray Allen,@greenrayn20,Miami Heat
Shane Battier,@ShaneBattier,Miami Heat
Chris Bosh,@chrisbosh,Miami Heat
Mario Chalmers,@mchalmers15,Miami Heat
Udonis Haslem,@ThisisUD,Miami Heat
LeBron James,@KingJames,Miami Heat
Dwyane Wade,@DwyaneWade,Miami Heat
Arron Afflalo,@Arron_Afflalo,Orlando Magic
Glen Davis,@iambigbaby11,Orlando Magic
Maurice Harkless,@moe_harkless,Orlando Magic
Dequan Jones,@DequanJones5,Orlando Magic
Victor Oladipo,@VicOladipo,Orlando Magic
E’Twaun Moore,@ETwaun55,Orlando Magic
Jameer Nelson,@jameernelson,Orlando Magic
Andrew Nicholson,@nicholaf44,Orlando Magic
Kyle O’Quinn,@KO_STAT_2,Orlando Magic
Romero D. Osby,@RoeOsby24,Orlando Magic
Doron Lamb,@DLamb20,Orlando Magic
Tobias Harris,‏@tobias31,Orlando Magic
Trevor Ariza,@TrevorAriza,Washington Wizards
Jan Vesely,@JanVesely24,Washington Wizards
Bradley Beal,@RealDealBeal23,Washington Wizards
Trevor Booker,@trevor_booker,Washington Wizards
Al Harrington,@cheddahcheese7,Washington Wizards
Cartier Martin,@CartierMartin,Washington Wizards
Marcin Gortat,@MGortat,Washington Wizards
Garrett Temple,@GTemp14,Washington Wizards
Eric Maynor,@EMaynor3,Washington Wizards
