Name,Team,Twitter_name,Wiki,Division,Conference
Joel Embiid,Philadelphia 76ers,@joelembiid,/wiki/Joel_Embiid,Atlantic Division,EASTERN CONFERENCE
Markelle Fultz,Philadelphia 76ers,@MarkelleF,/wiki/Markelle_Fultz,Atlantic Division,EASTERN CONFERENCE
Richaun Holmes,Philadelphia 76ers,@Rich_Holmes22,/wiki/Richaun_Holmes,Atlantic Division,EASTERN CONFERENCE
Amir Johnson,Philadelphia 76ers,@iamamirjohnson,/wiki/Amir_Johnson,Atlantic Division,EASTERN CONFERENCE
Furkan Korkmaz,Philadelphia 76ers,@FurkanKorkmazFK,/wiki/Furkan_Korkmaz,Atlantic Division,EASTERN CONFERENCE
Timothé Luwawu-Cabarrot,Philadelphia 76ers,@timcabs,/wiki/Timoth%C3%A9_Luwawu-Cabarrot,Atlantic Division,EASTERN CONFERENCE
James Michael McAdoo,Philadelphia 76ers,@jamesmcadoo,/wiki/James_Michael_McAdoo,Atlantic Division,EASTERN CONFERENCE
T. J. McConnell,Philadelphia 76ers,@TJMcConnell,/wiki/T._J._McConnell,Atlantic Division,EASTERN CONFERENCE
Jacob Pullen,Philadelphia 76ers,@Jpullz0,/wiki/Jacob_Pullen,Atlantic Division,EASTERN CONFERENCE
J. J. Redick,Philadelphia 76ers,@JRedick4,/wiki/J._J._Redick,Atlantic Division,EASTERN CONFERENCE
Dario Saric,Philadelphia 76ers,@dariosaric,/wiki/Dario_%C5%A0ari%C4%87,Atlantic Division,EASTERN CONFERENCE
Ben Simmons,Philadelphia 76ers,@BenSimmons25,/wiki/Ben_Simmons,Atlantic Division,EASTERN CONFERENCE
OG Anunoby,Toronto Raptors,@OAnunoby,/wiki/OG_Anunoby,Atlantic Division,EASTERN CONFERENCE
Lorenzo Brown,Toronto Raptors,@Zo_Brown,/wiki/Lorenzo_Brown,Atlantic Division,EASTERN CONFERENCE
Bruno Caboclo,Toronto Raptors,@Bruno_Caboclo,/wiki/Bruno_Caboclo,Atlantic Division,EASTERN CONFERENCE
DeMar DeRozan,Toronto Raptors,@DeMar_DeRozan,/wiki/DeMar_DeRozan,Atlantic Division,EASTERN CONFERENCE
Serge Ibaka,Toronto Raptors,@sergeibaka,/wiki/Serge_Ibaka,Atlantic Division,EASTERN CONFERENCE
Kyle Lowry,Toronto Raptors,@Klow7,/wiki/Kyle_Lowry,Atlantic Division,EASTERN CONFERENCE
Alfonzo McKinnie,Toronto Raptors,@_Alvo_,/wiki/Alfonzo_McKinnie,Atlantic Division,EASTERN CONFERENCE
C. J. Miles,Toronto Raptors,@masfresco,/wiki/C._J._Miles,Atlantic Division,EASTERN CONFERENCE
Lucas Nogueira,Toronto Raptors,@Bebe92,/wiki/Lucas_Nogueira,Atlantic Division,EASTERN CONFERENCE
Jakob Pöltl,Toronto Raptors,@JacobPoeltl,/wiki/Jakob_P%C3%B6ltl,Atlantic Division,EASTERN CONFERENCE
Norman Powell,Toronto Raptors,@npowell2404,/wiki/Norman_Powell,Atlantic Division,EASTERN CONFERENCE
Pascal Siakam,Toronto Raptors,@pskills43,/wiki/Pascal_Siakam,Atlantic Division,EASTERN CONFERENCE
Jonas Valanciunas,Toronto Raptors,@JValanciunas,/wiki/Jonas_Valan%C4%8Di%C5%ABnas,Atlantic Division,EASTERN CONFERENCE
Fred VanVleet,Toronto Raptors,@FredVanVleet,/wiki/Fred_VanVleet,Atlantic Division,EASTERN CONFERENCE
Delon Wright,Toronto Raptors,@delonwright,/wiki/Delon_Wright,Atlantic Division,EASTERN CONFERENCE
Ryan Arcidiacono,Chicago Bulls,@RyArch15,/wiki/Ryan_Arcidiacono,Central Division,EASTERN CONFERENCE
Antonio Blakeney,Chicago Bulls,@blakeney96,/wiki/Antonio_Blakeney,Central Division,EASTERN CONFERENCE
Kris Dunn,Chicago Bulls,@KrisDunn3,/wiki/Kris_Dunn,Central Division,EASTERN CONFERENCE
Cristiano Felicio,Chicago Bulls,@IamFelicio,/wiki/Cristiano_Fel%C3%ADcio,Central Division,EASTERN CONFERENCE
Jerian Grant,Chicago Bulls,@jeriangrant,/wiki/Jerian_Grant,Central Division,EASTERN CONFERENCE
Justin Holiday,Chicago Bulls,@JustHolla7,/wiki/Justin_Holiday,Central Division,EASTERN CONFERENCE
Zach LaVine,Chicago Bulls,@ZachLaVine,/wiki/Zach_LaVine,Central Division,EASTERN CONFERENCE
Robin Lopez,Chicago Bulls,@rolopez42,/wiki/Robin_Lopez,Central Division,EASTERN CONFERENCE
Lauri Markkanen,Chicago Bulls,@MarkkanenLauri,/wiki/Lauri_Markkanen,Central Division,EASTERN CONFERENCE
